Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T005_009,SE_T005_010,SE_T005_011,SE_T005_012,SE_T005_013,SE_T005_014,SE_T005_015,SE_T005_016,SE_T005_017,SE_T005_018,SE_T005_019,SE_T005_020,SE_T005_021,SE_T005_022,SE_T005_023,SE_T005_024,SE_T005_025,SE_T005_026,SE_T005_027,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T009_005,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T057_001
421010110004.000000000000000,15000US421010110004,"Block Group 4, Census Tract 110, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 110, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16806,,,,,42,101,,,,11000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502,1502,662,59,106,98,33,56,84,70,94,18,38,6,0,840,98,103,65,50,24,102,130,77,105,44,6,36,1502,612,266,494,130,662,296,140,182,44,840,316,126,312,86,1502,0,1420,0,10,0,28,44,1502,1474,0,1420,0,10,0,0,44,28,0,0,0,0,0,28,0,810,197,613,429,76,39,18,0,458,423,35,18701
421010111001.000000000000000,15000US421010111001,"Block Group 1, Census Tract 111, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 111, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16807,,,,,42,101,,,,11100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,555,179,18,0,30,25,19,27,0,13,34,0,13,0,376,88,18,46,0,18,60,14,67,44,0,21,0,555,225,124,172,34,179,73,46,47,13,376,152,78,125,21,555,100,455,0,0,0,0,0,555,536,100,436,0,0,0,0,0,19,0,19,0,0,0,0,0,293,19,274,236,75,11,0,0,156,142,14,22232
421010111002.000000000000000,15000US421010111002,"Block Group 2, Census Tract 111, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 111, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16808,,,,,42,101,,,,11100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,437,212,35,9,0,0,25,85,16,25,0,15,2,0,225,0,0,25,0,40,10,7,61,26,10,7,39,437,69,160,135,73,212,44,110,41,17,225,25,50,94,56,437,16,414,0,7,0,0,0,437,425,16,402,0,7,0,0,0,12,0,12,0,0,0,0,0,303,28,275,123,28,12,2,2,322,211,111,46587
421010111003.000000000000000,15000US421010111003,"Block Group 3, Census Tract 111, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 111, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16809,,,,,42,101,,,,11100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,634,343,11,13,0,14,0,94,137,32,14,28,0,0,291,0,30,0,0,0,114,0,52,37,36,22,0,634,68,208,272,86,343,38,94,183,28,291,30,114,89,58,634,43,591,0,0,0,0,0,634,634,43,591,0,0,0,0,0,0,0,0,0,0,0,0,0,566,219,347,75,21,11,0,0,304,203,101,20536
421010111004.000000000000000,15000US421010111004,"Block Group 4, Census Tract 111, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 111, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16810,,,,,42,101,,,,11100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,810,282,8,22,16,0,48,20,0,51,63,37,10,7,528,100,20,8,0,72,44,78,96,24,56,15,15,810,174,184,312,140,282,46,68,114,54,528,128,116,198,86,810,0,810,0,0,0,0,0,810,798,0,798,0,0,0,0,0,12,0,12,0,0,0,0,0,516,94,422,272,43,25,0,0,309,255,54,16250
421010111005.000000000000000,15000US421010111005,"Block Group 5, Census Tract 111, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 111, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16811,,,,,42,101,,,,11100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,647,216,0,55,36,0,0,14,28,22,50,11,0,0,431,14,36,24,23,15,104,60,22,55,17,44,17,647,188,133,237,89,216,91,14,100,11,431,97,119,137,78,647,18,617,0,12,0,0,0,647,647,18,617,0,12,0,0,0,0,0,0,0,0,0,0,0,444,77,367,207,67,12,0,0,229,211,18,13750
421010112001.000000000000000,15000US421010112001,"Block Group 1, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16812,,,,,42,101,,,,11200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,652,396,0,77,0,13,0,29,171,43,15,11,22,15,256,0,13,0,0,0,0,99,43,70,0,31,0,652,103,29,441,79,396,90,29,229,48,256,13,0,212,31,652,10,565,0,0,0,77,0,652,575,10,565,0,0,0,0,0,77,0,0,0,0,0,77,0,549,51,498,137,0,0,0,0,290,290,0,
421010112002.000000000000000,15000US421010112002,"Block Group 2, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16813,,,,,42,101,,,,11200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,607,197,0,17,0,30,52,0,24,0,61,13,0,0,410,35,0,0,0,76,45,50,73,54,15,15,47,607,82,173,262,90,197,47,52,85,13,410,35,121,177,77,607,0,575,0,0,0,0,32,607,590,0,575,0,0,0,0,15,17,0,0,0,0,0,0,17,397,53,344,125,72,0,0,0,249,238,11,27050
421010112003.000000000000000,15000US421010112003,"Block Group 3, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16814,,,,,42,101,,,,11200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,648,255,0,49,0,0,45,98,0,16,14,20,13,0,393,0,49,96,0,16,86,48,17,37,31,13,0,648,194,245,132,77,255,49,143,30,33,393,145,102,102,44,648,0,648,0,0,0,0,0,648,648,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,393,13,380,237,74,20,0,0,186,186,0,
421010112004.000000000000000,15000US421010112004,"Block Group 4, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16815,,,,,42,101,,,,11200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,1148,433,0,100,0,0,48,39,40,51,114,0,41,0,715,192,36,64,21,95,63,74,116,54,0,0,0,1148,413,245,449,41,433,100,87,205,41,715,313,158,244,0,1148,0,1148,0,0,0,0,0,1148,1148,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,592,77,515,409,119,0,0,0,537,487,50,27073
421010112005.000000000000000,15000US421010112005,"Block Group 5, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16816,,,,,42,101,,,,11200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,842,208,68,0,59,0,36,0,0,13,11,10,11,0,634,0,58,116,57,61,101,94,47,0,62,38,0,842,358,198,165,121,208,127,36,24,21,634,231,162,141,100,842,13,816,0,0,0,0,13,842,829,13,816,0,0,0,0,0,13,0,0,0,0,0,0,13,387,48,339,168,24,0,0,0,158,157,1,30771
421010112006.000000000000000,15000US421010112006,"Block Group 6, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 6, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16817,,,,,42,101,,,,11200,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,691,343,0,27,0,52,1,107,24,47,44,41,0,0,348,44,90,0,15,17,51,42,12,24,41,12,0,691,228,176,193,94,343,79,108,115,41,348,149,68,78,53,691,0,674,0,1,0,0,16,691,691,0,674,0,1,0,0,16,0,0,0,0,0,0,0,0,445,27,418,189,41,21,0,0,306,267,39,41932
421010112007.000000000000000,15000US421010112007,"Block Group 7, Census Tract 112, Philadelphia County, Pennsylvania","Block Group 7, Census Tract 112, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16818,,,,,42,101,,,,11200,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,378,171,0,0,0,0,46,22,0,61,28,0,0,14,207,0,0,0,31,0,0,0,26,67,35,48,0,378,31,68,182,97,171,0,68,89,14,207,31,0,93,83,378,12,366,0,0,0,0,0,378,378,12,366,0,0,0,0,0,0,0,0,0,0,0,0,0,301,60,241,118,16,0,0,0,158,81,77,9480
421010113001.000000000000000,15000US421010113001,"Block Group 1, Census Tract 113, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 113, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16819,,,,,42,101,,,,11300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,1160,636,16,12,14,17,77,217,35,98,112,21,0,17,524,14,17,9,0,69,45,24,107,86,72,55,26,1160,99,408,462,191,636,59,294,245,38,524,40,114,217,153,1160,0,1152,0,0,0,0,8,1160,1160,0,1152,0,0,0,0,8,0,0,0,0,0,0,0,0,915,133,782,393,114,40,0,0,681,609,72,49946
421010113002.000000000000000,15000US421010113002,"Block Group 2, Census Tract 113, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 113, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16820,,,,,42,101,,,,11300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,805,264,114,38,28,0,0,9,0,24,22,0,0,29,541,78,18,27,0,13,121,41,8,65,86,84,0,805,303,143,160,199,264,180,9,46,29,541,123,134,114,170,805,0,805,0,0,0,0,0,805,805,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,489,8,481,261,36,19,19,19,249,234,15,26500
421010113003.000000000000000,15000US421010113003,"Block Group 3, Census Tract 113, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 113, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16821,,,,,42,101,,,,11300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779,779,384,0,57,18,8,0,7,12,106,91,27,36,22,395,0,0,34,0,32,59,0,73,105,19,66,7,779,117,98,387,177,384,83,7,209,85,395,34,91,178,92,779,0,779,0,0,0,0,0,779,779,0,779,0,0,0,0,0,0,0,0,0,0,0,0,0,630,75,555,199,31,23,11,0,286,246,40,23250
421010114001.000000000000000,15000US421010114001,"Block Group 1, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16822,,,,,42,101,,,,11400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1992,818,174,0,132,0,98,115,75,64,124,36,0,0,1174,0,95,106,25,200,177,87,158,195,67,64,0,1992,532,590,703,167,818,306,213,263,36,1174,226,377,440,131,1992,0,1992,0,0,0,0,0,1992,1992,0,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,86,1076,912,391,211,62,0,844,828,16,47090
421010114002.000000000000000,15000US421010114002,"Block Group 2, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16823,,,,,42,101,,,,11400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,540,171,0,0,0,0,0,0,18,97,40,8,8,0,369,0,0,86,0,0,24,16,58,57,30,56,42,540,86,24,286,144,171,0,0,155,16,369,86,24,131,128,540,0,524,0,0,0,16,0,540,524,0,524,0,0,0,0,0,16,0,0,0,0,0,16,0,454,38,416,254,176,12,0,0,208,196,12,51563
421010114003.000000000000000,15000US421010114003,"Block Group 3, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16824,,,,,42,101,,,,11400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,1235,480,27,133,24,61,0,74,77,59,7,18,0,0,755,26,108,37,0,0,184,18,149,74,80,49,30,1235,416,258,384,177,480,245,74,143,18,755,171,184,241,159,1235,0,1235,0,0,0,0,0,1235,1235,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,819,80,739,388,50,0,0,0,542,468,74,32313
421010114004.000000000000000,15000US421010114004,"Block Group 4, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16825,,,,,42,101,,,,11400,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,785,318,34,0,30,0,0,0,43,40,121,13,23,14,467,34,0,46,29,97,34,24,71,65,24,43,0,785,173,131,364,117,318,64,0,204,50,467,109,131,160,67,785,0,773,0,0,0,12,0,785,754,0,754,0,0,0,0,0,31,0,19,0,0,0,12,0,515,77,438,231,103,13,0,0,354,313,41,64286
421010114005.000000000000000,15000US421010114005,"Block Group 5, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16826,,,,,42,101,,,,11400,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845,1845,653,80,111,34,19,62,55,107,69,80,0,0,36,1192,66,126,59,153,115,188,127,208,47,86,17,0,1845,648,420,638,139,653,244,117,256,36,1192,404,303,382,103,1845,46,1799,0,0,0,0,0,1845,1845,46,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,13,1007,681,288,115,0,0,929,909,20,52563
421010114006.000000000000000,15000US421010114006,"Block Group 6, Census Tract 114, Philadelphia County, Pennsylvania","Block Group 6, Census Tract 114, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16827,,,,,42,101,,,,11400,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,822,384,20,0,0,0,0,30,88,79,67,58,42,0,438,0,0,0,15,62,14,25,28,159,69,32,34,822,35,106,446,235,384,20,30,234,100,438,15,76,212,135,822,37,738,0,0,21,5,21,822,737,31,706,0,0,0,0,0,85,6,32,0,0,21,5,21,725,142,583,353,120,73,42,42,376,302,74,
421010115001.000000000000000,15000US421010115001,"Block Group 1, Census Tract 115, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 115, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16828,,,,,42,101,,,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,1079,455,17,28,28,13,84,58,24,118,43,42,0,0,624,72,25,28,38,35,54,61,103,96,42,70,0,1079,249,231,445,154,455,86,142,185,42,624,163,89,260,112,1079,11,1036,0,0,0,0,32,1079,1079,11,1036,0,0,0,0,32,0,0,0,0,0,0,0,0,711,105,606,389,217,38,22,0,557,434,123,51613
421010115002.000000000000000,15000US421010115002,"Block Group 2, Census Tract 115, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 115, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16829,,,,,42,101,,,,11500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298,1298,573,91,26,18,15,104,109,18,68,103,10,11,0,725,70,36,82,0,45,157,97,95,113,9,11,10,1298,338,415,494,51,573,150,213,189,21,725,188,202,305,30,1298,98,1159,0,0,0,0,41,1298,1277,98,1138,0,0,0,0,41,21,0,21,0,0,0,0,0,811,46,765,551,251,55,0,0,723,691,32,50147
421010115003.000000000000000,15000US421010115003,"Block Group 3, Census Tract 115, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 115, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16830,,,,,42,101,,,,11500,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448,1448,655,0,40,116,52,106,0,45,156,73,33,0,34,793,30,27,49,10,51,106,77,253,78,38,74,0,1448,324,263,682,179,655,208,106,274,67,793,116,157,408,112,1448,92,1348,0,0,0,8,0,1448,1329,76,1245,0,0,0,8,0,119,16,103,0,0,0,0,0,967,73,894,563,247,116,24,24,787,654,133,60707
421010115004.000000000000000,15000US421010115004,"Block Group 4, Census Tract 115, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 115, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16831,,,,,42,101,,,,11500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,941,312,0,43,39,40,58,54,10,18,25,18,7,0,629,102,64,21,49,8,106,120,64,69,11,15,0,941,358,226,306,51,312,122,112,53,25,629,236,114,253,26,941,51,868,0,0,0,22,0,941,941,51,868,0,0,0,22,0,0,0,0,0,0,0,0,0,517,70,447,195,53,21,11,11,395,346,49,31852
421010117001.000000000000000,15000US421010117001,"Block Group 1, Census Tract 117, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 117, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16832,,,,,42,101,,,,11700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899,1899,865,0,0,17,42,466,55,22,67,76,64,35,21,1034,13,0,11,0,697,47,32,35,106,60,27,6,1899,83,1265,338,213,865,59,521,165,120,1034,24,744,173,93,1899,982,675,0,191,0,15,36,1899,1840,957,659,0,191,0,0,33,59,25,16,0,0,0,15,3,653,50,603,487,300,127,24,19,903,765,138,63333
421010118001.000000000000000,15000US421010118001,"Block Group 1, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16833,,,,,42,101,,,,11800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,976,289,19,0,16,55,0,26,49,0,89,9,26,0,687,0,0,0,0,101,234,13,50,130,88,71,0,976,90,361,331,194,289,90,26,138,35,687,0,335,193,159,976,0,908,0,9,0,59,0,976,917,0,908,0,9,0,0,0,59,0,0,0,0,0,59,0,785,69,716,495,112,16,16,16,509,485,24,57788
421010118002.000000000000000,15000US421010118002,"Block Group 2, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16834,,,,,42,101,,,,11800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,983,484,21,49,69,0,0,112,59,46,48,60,20,0,499,20,0,0,0,93,102,0,129,9,95,40,11,983,159,307,291,226,484,139,112,153,80,499,20,195,138,146,983,14,935,0,14,0,0,20,983,983,14,935,0,14,0,0,20,0,0,0,0,0,0,0,0,731,103,628,470,219,72,0,0,542,418,124,36469
421010118003.000000000000000,15000US421010118003,"Block Group 3, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16835,,,,,42,101,,,,11800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242,1242,508,62,39,0,0,61,100,0,79,78,11,15,63,734,80,55,18,0,20,101,99,27,194,35,105,0,1242,254,282,477,229,508,101,161,157,89,734,153,121,320,140,1242,0,1242,0,0,0,0,0,1242,1230,0,1230,0,0,0,0,0,12,0,12,0,0,0,0,0,907,277,630,249,61,45,0,0,470,429,41,28072
421010118004.000000000000000,15000US421010118004,"Block Group 4, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16836,,,,,42,101,,,,11800,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,662,488,0,0,0,0,38,73,75,205,51,46,0,0,174,0,0,0,0,0,0,31,0,71,60,12,0,662,0,111,433,118,488,0,111,331,46,174,0,0,102,72,662,0,662,0,0,0,0,0,662,662,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,624,376,54,23,0,0,398,398,0,
421010118005.000000000000000,15000US421010118005,"Block Group 5, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16837,,,,,42,101,,,,11800,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1258,602,0,0,36,0,86,178,125,30,35,30,82,0,656,31,13,66,0,19,88,86,21,126,100,75,31,1258,146,371,423,318,602,36,264,190,112,656,110,107,233,206,1258,56,1086,0,0,0,50,66,1258,1208,56,1086,0,0,0,0,66,50,0,0,0,0,0,50,0,1007,46,961,555,209,109,21,11,644,581,63,36696
421010118006.000000000000000,15000US421010118006,"Block Group 6, Census Tract 118, Philadelphia County, Pennsylvania","Block Group 6, Census Tract 118, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16838,,,,,42,101,,,,11800,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,735,172,0,0,0,0,0,160,0,0,0,0,12,0,563,0,51,0,43,22,156,108,15,84,37,47,0,735,94,338,207,96,172,0,160,0,12,563,94,178,207,84,735,0,673,0,0,0,0,62,735,596,0,534,0,0,0,0,62,139,0,139,0,0,0,0,0,619,0,619,537,0,0,0,0,378,208,170,
421010119001.000000000000000,15000US421010119001,"Block Group 1, Census Tract 119, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 119, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16839,,,,,42,101,,,,11900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376,1376,819,143,0,15,15,15,201,56,123,147,39,39,26,557,31,15,28,0,0,181,0,59,70,98,75,0,1376,247,397,455,277,819,173,216,326,104,557,74,181,129,173,1376,5,1261,0,110,0,0,0,1376,1376,5,1261,0,110,0,0,0,0,0,0,0,0,0,0,0,1114,100,1014,451,106,76,0,0,579,579,0,40742
421010119002.000000000000000,15000US421010119002,"Block Group 2, Census Tract 119, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 119, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16840,,,,,42,101,,,,11900,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,1728,695,64,58,18,26,87,46,83,125,144,19,25,0,1033,96,55,0,57,92,119,156,131,169,74,56,28,1728,374,344,808,202,695,166,133,352,44,1033,208,211,456,158,1728,0,1593,0,0,0,67,68,1728,1728,0,1593,0,0,0,67,68,0,0,0,0,0,0,0,0,1175,73,1102,721,180,36,17,17,910,826,84,32711
421010119003.000000000000000,15000US421010119003,"Block Group 3, Census Tract 119, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 119, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16841,,,,,42,101,,,,11900,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,907,512,128,84,21,0,30,57,9,33,116,0,0,34,395,0,6,0,0,36,118,50,75,52,0,43,15,907,239,241,335,92,512,233,87,158,34,395,6,154,177,58,907,0,907,0,0,0,0,0,907,907,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,602,171,431,257,64,21,0,0,372,265,107,24743
421010119004.000000000000000,15000US421010119004,"Block Group 4, Census Tract 119, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 119, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16842,,,,,42,101,,,,11900,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,487,277,0,0,24,2,1,107,49,7,30,39,0,18,210,0,0,0,22,0,1,0,52,97,38,0,0,487,48,109,235,95,277,26,108,86,57,210,22,1,149,38,487,42,417,0,0,0,1,27,487,483,40,417,0,0,0,0,26,4,2,0,0,0,0,1,1,438,52,386,234,89,42,0,0,173,145,28,25761
421010119005.000000000000000,15000US421010119005,"Block Group 5, Census Tract 119, Philadelphia County, Pennsylvania","Block Group 5, Census Tract 119, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16843,,,,,42,101,,,,11900,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,240,78,0,0,0,0,0,0,36,28,0,14,0,0,162,0,0,0,0,33,30,16,0,0,15,37,31,240,0,63,80,97,78,0,0,64,14,162,0,63,16,83,240,0,240,0,0,0,0,0,240,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,207,31,176,58,28,0,0,0,127,94,33,
421010120001.000000000000000,15000US421010120001,"Block Group 1, Census Tract 120, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 120, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16844,,,,,42,101,,,,12000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,432,251,16,0,14,0,22,58,33,21,59,10,8,10,181,0,10,10,0,21,35,35,8,36,11,7,8,432,50,136,192,54,251,30,80,113,28,181,20,56,79,26,432,113,256,0,45,0,6,12,432,426,113,256,0,45,0,0,12,6,0,0,0,0,0,6,0,339,42,297,240,144,49,10,0,194,174,20,43000
421010120002.000000000000000,15000US421010120002,"Block Group 2, Census Tract 120, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 120, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16845,,,,,42,101,,,,12000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317,1317,617,8,0,32,6,251,48,44,65,94,48,21,0,700,0,6,57,21,241,72,45,89,75,41,43,10,1317,130,612,412,163,617,46,299,203,69,700,84,313,209,94,1317,582,652,0,57,0,0,26,1317,1226,510,646,0,57,0,0,13,91,72,6,0,0,0,0,13,695,119,576,434,276,181,44,19,603,517,86,56429
421010121001.000000000000000,15000US421010121001,"Block Group 1, Census Tract 121, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 121, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16846,,,,,42,101,,,,12100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,1359,601,43,41,59,31,97,72,63,58,44,62,19,12,758,38,0,43,22,72,174,43,64,202,55,15,30,1359,277,415,474,193,601,174,169,165,93,758,103,246,309,100,1359,295,866,0,151,28,11,8,1359,1253,267,827,0,151,0,0,8,106,28,39,0,0,28,11,0,913,84,829,606,261,112,40,15,734,663,71,43176
